title,text,rating,date,author
Great ANC for commute,ANC blocks metro noise really well and call quality is clear,5,2026-02-01,Aditi
Battery drains too fast,Only 3 hours battery with ANC on not acceptable,2,2026-02-03,Rahul
Comfortable for long use,Can wear for 4 hours no ear pain at all,5,2026-02-05,Sneha
App pairing issue,App fails first time but works after reset,3,2026-02-06,Manish
Value for money,Sound and build are excellent for this price,4,2026-02-07,Karan
Case hinge feels weak,Charging case hinge feels flimsy after one week,2,2026-02-08,Priya
Good bass punch,Bass is deep vocals are decent for pop music,4,2026-02-09,Arjun
Average microphone,Mic picks traffic noise during calls,3,2026-02-10,Neha
Bad delivery experience,Package arrived late and outer box was damaged,1,2026-02-11,Ritika
Solid fit for gym,Earbuds stay in place while running and sweating,5,2026-02-12,Dev
